Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
78,Norm,14.010291200810796,20.0,15.0,20.0,19.431097580430254,20.0,13.943000793457031,15.0,1000.0,20.0,20.0
79,Norm,13.77082678257791,21.64231515122726,15.0,20.0,19.812619878459937,20.0,13.490510940551758,14.0,1000.0,50.0,20.0
80,Norm,24.343338450532634,50.0,27.0,47.0,49.14330565199981,50.0,23.74155616760254,26.0,1000.0,50.0,50.0
81,Norm,24.480807044878205,53.496904864017694,27.0,48.0,49.88157560654048,50.0,23.735071182250977,26.0,1000.0,70.0,50.0
82,Paraboloid,2.745295581164675,3.0826958921089656,3.0,4.0,1.8326945226030391,1.0,2.245375394821167,2.0,1000.0,12.0,3.0
83,Paraboloid,4.156521454881613,5.841739821001805,5.0,5.0,1.4695767024314257,1.0,2.6867847442626953,2.0,1000.0,21.0,6.0
84,Paraboloid,4.748861133779143,9.209974621674164,5.0,6.0,1.2890659061835787,1.0,2.6676602363586426,2.0,1000.0,30.0,9.0
85,Paraboloid,4.9147245239987285,12.073744185292338,6.0,7.0,1.2221535341990741,1.0,3.3122222423553467,3.0,1000.0,39.0,12.0
86,Paraboloid,4.693426150231413,13.823332737303895,6.0,6.0,1.1599686879601105,1.0,3.260456085205078,3.0,1000.0,48.0,15.0
87,Cubic,3.0465407889646303,3.1163855391151722,3.0,4.0,4.003686678782037,4.0,3.1738674640655518,3.0,1000.0,5.0,3.0
88,Cubic,18.25596031234234,29.67935508542333,19.0,29.0,30.321056295638353,31.0,21.00831413269043,21.0,1000.0,35.0,30.0
89,Cubic,31.209104022006215,74.01834726069718,34.0,69.0,67.89242300509922,71.0,34.93882751464844,37.0,1000.0,90.0,70.0
90,Sphere,2.9796454532107477,3.0803878710789654,3.0,4.0,3.970156793327887,4.0,3.054023027420044,3.0,1000.0,5.0,3.0
91,Sphere,4.756836582248989,5.023287158269311,5.0,6.0,5.964796511678564,6.0,4.85502290725708,5.0,1000.0,10.0,5.0
92,Sphere,8.564645584821687,10.328516945480638,9.0,11.0,10.943272932378092,11.0,9.334590911865234,9.0,1000.0,15.0,10.0
93,Sphere,19.079530395815222,32.60204061645896,21.0,31.0,30.838920060390457,31.0,24.624004364013672,24.0,1000.0,35.0,30.0
94,Sphere,26.764108196726763,55.0,29.0,53.0,50.293908518485225,51.0,30.952472686767578,35.0,1000.0,55.0,50.0
95,Sphere,32.52662581871413,68.2677279751105,35.0,70.0,70.70632428005705,71.0,40.21070861816406,42.0,1000.0,75.0,70.0
96,Affine_3to5,2.7137575172809107,3.120945689038557,3.0,3.0,2.577458144166216,3.0,3.018834352493286,3.0,1000.0,5.0,3.0
97,Affine,4.337927836941883,5.0,4.0,5.0,4.995499255704167,5.0,4.2834906578063965,5.0,1000.0,5.0,5.0
98,Affine,7.700287501547859,10.0,8.0,10.0,9.887447461352071,10.0,8.377957344055176,8.0,1000.0,10.0,10.0
99,Affine,13.230956651789645,18.844457341368006,14.0,19.0,19.882364673050912,20.0,14.36645221710205,15.0,1000.0,20.0,20.0
