Dataset,MLE,GeoMLE,MIND,DANCo,ESS,PCA,CD,Hein,Num,Dim,RealDim
58,Helicoid,2.0884609535476324,2.008100837422693,2.0,2.0,2.2992599032294314,3.0,2.0949456691741943,2.0,1000.0,13.0,2.0
59,Roll,2.0931529284557806,2.577434423575281,2.0,2.0,2.7590034069254923,3.0,1.9331061840057373,2.0,1000.0,3.0,2.0
60,Roll,2.0520567772162455,2.0989470059280535,2.0,2.0,2.7646173858249035,3.0,2.051841974258423,2.0,1000.0,13.0,2.0
61,Scurve,2.0316601786088127,2.0077716052997547,2.0,2.0,1.9826615690522371,3.0,2.118140697479248,2.0,1000.0,3.0,2.0
62,Scurve,2.010922230643805,2.049081434243764,2.0,2.0,1.9965284953378601,3.0,1.9956227540969849,2.0,1000.0,13.0,2.0
63,Moebius,2.0867872703485246,1.9371853416149847,2.0,2.0,2.1087367492059363,2.0,2.001065969467163,2.0,1000.0,3.0,2.0
64,Paraboloid,2.8369942688640806,2.9964432096943536,3.0,3.0,1.7918016902734168,1.0,2.190873861312866,2.0,1000.0,12.0,3.0
65,Paraboloid,4.746246083934058,5.752859304927765,5.0,7.0,1.474066736372035,1.0,3.1879379749298096,3.0,1000.0,21.0,6.0
66,Paraboloid,5.9216860821187876,8.0803764272321,6.0,8.0,1.3073872740850319,1.0,3.5511221885681152,3.0,1000.0,30.0,9.0
67,Paraboloid,6.5845257909181765,11.506832448408995,7.0,8.0,1.2152060099839537,1.0,3.7698843479156494,3.0,1000.0,39.0,12.0
68,Paraboloid,6.830602044900961,14.191404373128549,7.0,9.0,1.1608478185710582,1.0,3.626716136932373,4.0,1000.0,48.0,15.0
69,Cubic,3.0073630746062934,3.067595708173512,3.0,3.0,3.9558697885909115,4.0,2.9130048751831055,3.0,1000.0,5.0,3.0
70,Cubic,20.110314532655767,32.506844496414224,21.0,33.0,30.841689919712376,31.0,19.45778465270996,20.0,1000.0,35.0,30.0
71,Cubic,34.13884636020536,74.51463507861845,37.0,70.0,71.57839339498639,71.0,32.65533447265625,35.0,1000.0,90.0,70.0
72,Sphere,2.9435981215539244,2.9770400769397956,3.0,3.0,4.035769692223904,4.0,3.156963586807251,3.0,1000.0,5.0,3.0
73,Sphere,4.610629013570351,4.887104095544266,5.0,6.0,5.938374370744965,6.0,4.41686487197876,5.0,1000.0,10.0,5.0
74,Sphere,8.24336976007345,8.784370286892415,8.0,10.0,10.945910254131174,11.0,8.411603927612305,8.0,1000.0,15.0,10.0
75,Sphere,19.589955021306412,30.39258619226731,20.0,29.0,30.9080180708304,31.0,21.5140380859375,22.0,1000.0,35.0,30.0
76,Sphere,28.355942537634395,49.475927710291316,30.0,49.0,49.93487229948482,51.0,32.687705993652344,32.0,1000.0,55.0,50.0
77,Sphere,35.66641596931279,71.52291207712031,37.0,71.0,67.77985376907564,71.0,40.4273796081543,39.0,1000.0,75.0,70.0
78,Affine_3to5,3.063824519113673,3.2693193438611443,3.0,3.0,2.5201518286540914,3.0,2.854018449783325,3.0,1000.0,5.0,3.0
79,Affine,4.88701348862193,5.0,5.0,5.0,5.02473187576588,5.0,4.768245697021484,5.0,1000.0,5.0,5.0
80,Affine,9.073632918956053,10.0,9.0,10.0,9.956277480941196,10.0,8.74211597442627,9.0,1000.0,10.0,10.0
81,Affine,15.03373123275088,20.0,16.0,19.0,20.242330250981187,20.0,13.84654426574707,15.0,1000.0,20.0,20.0
82,Nonlinear_4to6,4.064227711360667,4.344904675797502,4.0,5.0,3.1576777329376204,5.0,3.8121302127838135,4.0,1000.0,6.0,4.0
83,Nonlinear,4.163420606966134,3.5929024870729345,4.0,6.0,7.393040716092836,8.0,3.854719638824463,4.0,1000.0,8.0,4.0
84,Nonlinear,6.337963998512376,6.561815849784519,6.0,8.0,11.084841360885939,12.0,5.818990707397461,6.0,1000.0,36.0,6.0
85,Nonlinear,8.475018362625525,9.14530408419402,9.0,10.0,14.566592306387088,16.0,7.614221096038818,8.0,1000.0,64.0,8.0
86,Nonlinear,12.615610387628811,15.58929949558587,13.0,15.0,21.96453790460201,24.0,11.365955352783203,11.0,1000.0,72.0,12.0
87,Spiral,1.7718126462228443,2.2374791179878017,1.0,1.0,2.0204399060871325,2.0,0.9880959391593933,1.0,1000.0,3.0,1.0
88,Spiral,1.799443199266377,2.051713802164517,1.0,1.0,2.0584391301731917,2.0,1.002811074256897,1.0,1000.0,13.0,1.0
89,Helix1d,1.0339991106409268,1.1108559096606345,1.0,1.0,2.6117080118140814,3.0,0.9700276851654053,1.0,1000.0,3.0,1.0
90,Helix1d,1.0223802770923078,1.0786945273053745,1.0,1.0,2.657363298722605,3.0,0.9591562747955322,1.0,1000.0,13.0,1.0
91,Helix2d,2.90558175371263,3.0,3.0,3.0,2.352668809519466,3.0,1.9526567459106445,2.0,1000.0,3.0,2.0
